path,metalness,emissive,roughness,subsurface
textures\blocks\acacia_trapdoor.png,0,0,255,255
textures\blocks\amethyst_block.png,0,0,255,255
textures\blocks\amethyst_cluster.png,0,0,255,255
textures\blocks\ancient_debris_side.png,0,0,255,255
textures\blocks\ancient_debris_top.png,0,0,255,255
textures\blocks\angler_pottery_pattern.png,0,0,255,255
textures\blocks\anvil_base.png,0,0,255,255
textures\blocks\anvil_top_damaged_0.png,0,0,255,255
textures\blocks\anvil_top_damaged_1.png,0,0,255,255
textures\blocks\anvil_top_damaged_2.png,0,0,255,255
textures\blocks\archer_pottery_pattern.png,0,0,255,255
textures\blocks\arms_up_pottery_pattern.png,0,0,255,255
textures\blocks\azalea_leaves.png,0,0,255,255
textures\blocks\azalea_leaves_flowers.png,0,0,255,255
textures\blocks\azalea_leaves_flowers_opaque.png,0,0,255,255
textures\blocks\azalea_leaves_opaque.png,0,0,255,255
textures\blocks\azalea_plant.png,0,0,255,255
textures\blocks\azalea_side.png,0,0,255,255
textures\blocks\azalea_top.png,0,0,255,255
textures\blocks\bamboo_block.png,0,0,255,255
textures\blocks\bamboo_block_top.png,0,0,255,255
textures\blocks\bamboo_door_bottom.png,0,0,255,255
textures\blocks\bamboo_door_top.png,0,0,255,255
textures\blocks\bamboo_fence.png,0,0,255,255
textures\blocks\bamboo_fence_gate.png,0,0,255,255
textures\blocks\bamboo_leaf.png,0,0,255,255
textures\blocks\bamboo_mosaic.png,0,0,255,255
textures\blocks\bamboo_planks.png,0,0,255,255
textures\blocks\bamboo_sapling.png,0,0,255,255
textures\blocks\bamboo_singleleaf.png,0,0,255,255
textures\blocks\bamboo_small_leaf.png,0,0,255,255
textures\blocks\bamboo_stem.png,0,0,255,255
textures\blocks\bamboo_trapdoor.png,0,0,255,255
textures\blocks\barrel_bottom.png,0,0,255,255
textures\blocks\barrel_side.png,0,0,255,255
textures\blocks\barrel_top.png,0,0,255,255
textures\blocks\barrel_top_open.png,0,0,255,255
textures\blocks\barrier.png,0,0,255,255
textures\blocks\basalt_side.png,0,0,255,255
textures\blocks\basalt_top.png,0,0,255,255
textures\blocks\beacon.png,0,0,255,255
textures\blocks\bed_feet_end.png,0,0,255,255
textures\blocks\bed_feet_side.png,0,0,255,255
textures\blocks\bed_feet_top.png,0,0,255,255
textures\blocks\bed_head_end.png,0,0,255,255
textures\blocks\bed_head_side.png,0,0,255,255
textures\blocks\bed_head_top.png,0,0,255,255
textures\blocks\bedrock.png,0,0,255,255
textures\blocks\bee_nest_bottom.png,0,0,255,255
textures\blocks\bee_nest_front.png,0,0,255,255
textures\blocks\bee_nest_front_honey.png,0,0,255,255
textures\blocks\bee_nest_side.png,0,0,255,255
textures\blocks\bee_nest_top.png,0,0,255,255
textures\blocks\beehive_front.png,0,0,255,255
textures\blocks\beehive_front_honey.png,0,0,255,255
textures\blocks\beehive_side.png,0,0,255,255
textures\blocks\beehive_top.png,0,0,255,255
textures\blocks\beetroots_stage_0.png,0,0,255,255
textures\blocks\beetroots_stage_1.png,0,0,255,255
textures\blocks\beetroots_stage_2.png,0,0,255,255
textures\blocks\beetroots_stage_3.png,0,0,255,255
textures\blocks\bell_bottom.png,0,0,255,255
textures\blocks\bell_side.png,0,0,255,255
textures\blocks\bell_top.png,0,0,255,255
textures\blocks\big_dripleaf_side1.png,0,0,255,255
textures\blocks\big_dripleaf_side2.png,0,0,255,255
textures\blocks\big_dripleaf_stem.png,0,0,255,255
textures\blocks\big_dripleaf_top.png,0,0,255,255
textures\blocks\birch_trapdoor.png,0,0,255,255
textures\blocks\blackstone.png,0,0,255,255
textures\blocks\blackstone_top.png,0,0,255,255
textures\blocks\blade_pottery_pattern.png,0,0,255,255
textures\blocks\blast_furnace_front_off.png,0,0,255,255
textures\blocks\blast_furnace_front_on.png,0,0,255,255
textures\blocks\blast_furnace_side.png,0,0,255,255
textures\blocks\blast_furnace_top.png,0,0,255,255
textures\blocks\blue_ice.png,0,0,255,255
textures\blocks\bone_block_side.png,0,0,255,255
textures\blocks\bone_block_top.png,0,0,255,255
textures\blocks\bookshelf.png,0,0,255,255
textures\blocks\border.png,0,0,255,255
textures\blocks\brewer_pottery_pattern.png,0,0,255,255
textures\blocks\brewing_stand.png,0,0,255,255
textures\blocks\brewing_stand_base.png,0,0,255,255
textures\blocks\brick.png,0,0,255,255
textures\blocks\bubble_column_down_top_a.png,0,0,255,255
textures\blocks\bubble_column_down_top_b.png,0,0,255,255
textures\blocks\bubble_column_down_top_c.png,0,0,255,255
textures\blocks\bubble_column_down_top_d.png,0,0,255,255
textures\blocks\bubble_column_inner_a.png,0,0,255,255
textures\blocks\bubble_column_inner_b.png,0,0,255,255
textures\blocks\bubble_column_outer_a.png,0,0,255,255
textures\blocks\bubble_column_outer_b.png,0,0,255,255
textures\blocks\bubble_column_outer_c.png,0,0,255,255
textures\blocks\bubble_column_outer_d.png,0,0,255,255
textures\blocks\bubble_column_outer_e.png,0,0,255,255
textures\blocks\bubble_column_outer_f.png,0,0,255,255
textures\blocks\bubble_column_outer_g.png,0,0,255,255
textures\blocks\bubble_column_outer_h.png,0,0,255,255
textures\blocks\bubble_column_up_top_a.png,0,0,255,255
textures\blocks\bubble_column_up_top_b.png,0,0,255,255
textures\blocks\bubble_column_up_top_c.png,0,0,255,255
textures\blocks\bubble_column_up_top_d.png,0,0,255,255
textures\blocks\budding_amethyst.png,0,0,255,255
textures\blocks\build_allow.png,0,0,255,255
textures\blocks\build_deny.png,0,0,255,255
textures\blocks\burn_pottery_pattern.png,0,0,255,255
textures\blocks\cactus_bottom.png,0,0,255,255
textures\blocks\cactus_bottom.tga,0,0,255,255
textures\blocks\cactus_side.png,0,0,255,255
textures\blocks\cactus_side.tga,0,0,255,255
textures\blocks\cactus_top.png,0,0,255,255
textures\blocks\cactus_top.tga,0,0,255,255
textures\blocks\cake_bottom.png,0,0,255,255
textures\blocks\cake_inner.png,0,0,255,255
textures\blocks\cake_side.png,0,0,255,255
textures\blocks\cake_top.png,0,0,255,255
textures\blocks\calcite.png,0,0,255,255
textures\blocks\calibrated_sculk_sensor_amethyst.png,0,0,255,255
textures\blocks\calibrated_sculk_sensor_input_side.png,0,0,255,255
textures\blocks\calibrated_sculk_sensor_top.png,0,0,255,255
textures\blocks\camera_back.png,0,0,255,255
textures\blocks\camera_front.png,0,0,255,255
textures\blocks\camera_side.png,0,0,255,255
textures\blocks\camera_top.png,0,0,255,255
textures\blocks\campfire.png,0,0,255,255
textures\blocks\campfire_log.png,0,0,255,255
textures\blocks\campfire_log_lit.png,0,0,255,255
textures\blocks\candles\black_candle.png,0,0,255,255
textures\blocks\candles\black_candle_lit.png,0,0,255,255
textures\blocks\candles\blue_candle.png,0,0,255,255
textures\blocks\candles\blue_candle_lit.png,0,0,255,255
textures\blocks\candles\brown_candle.png,0,0,255,255
textures\blocks\candles\brown_candle_lit.png,0,0,255,255
textures\blocks\candles\candle.png,0,0,255,255
textures\blocks\candles\candle_lit.png,0,0,255,255
textures\blocks\candles\cyan_candle.png,0,0,255,255
textures\blocks\candles\cyan_candle_lit.png,0,0,255,255
textures\blocks\candles\gray_candle.png,0,0,255,255
textures\blocks\candles\gray_candle_lit.png,0,0,255,255
textures\blocks\candles\green_candle.png,0,0,255,255
textures\blocks\candles\green_candle_lit.png,0,0,255,255
textures\blocks\candles\light_blue_candle.png,0,0,255,255
textures\blocks\candles\light_blue_candle_lit.png,0,0,255,255
textures\blocks\candles\light_gray_candle.png,0,0,255,255
textures\blocks\candles\light_gray_candle_lit.png,0,0,255,255
textures\blocks\candles\lime_candle.png,0,0,255,255
textures\blocks\candles\lime_candle_lit.png,0,0,255,255
textures\blocks\candles\magenta_candle.png,0,0,255,255
textures\blocks\candles\magenta_candle_lit.png,0,0,255,255
textures\blocks\candles\orange_candle.png,0,0,255,255
textures\blocks\candles\orange_candle_lit.png,0,0,255,255
textures\blocks\candles\pink_candle.png,0,0,255,255
textures\blocks\candles\pink_candle_lit.png,0,0,255,255
textures\blocks\candles\purple_candle.png,0,0,255,255
textures\blocks\candles\purple_candle_lit.png,0,0,255,255
textures\blocks\candles\red_candle.png,0,0,255,255
textures\blocks\candles\red_candle_lit.png,0,0,255,255
textures\blocks\candles\white_candle.png,0,0,255,255
textures\blocks\candles\white_candle_lit.png,0,0,255,255
textures\blocks\candles\yellow_candle.png,0,0,255,255
textures\blocks\candles\yellow_candle_lit.png,0,0,255,255
textures\blocks\carried_waterlily.png,0,0,255,255
textures\blocks\carrots_stage3.png,0,0,255,255
textures\blocks\carrots_stage_0.png,0,0,255,255
textures\blocks\carrots_stage_1.png,0,0,255,255
textures\blocks\carrots_stage_2.png,0,0,255,255
textures\blocks\carrots_stage_3.png,0,0,255,255
textures\blocks\cartography_table_side1.png,0,0,255,255
textures\blocks\cartography_table_side2.png,0,0,255,255
textures\blocks\cartography_table_side3.png,0,0,255,255
textures\blocks\cartography_table_top.png,0,0,255,255
textures\blocks\cauldron_bottom.png,0,0,255,255
textures\blocks\cauldron_inner.png,0,0,255,255
textures\blocks\cauldron_side.png,0,0,255,255
textures\blocks\cauldron_top.png,0,0,255,255
textures\blocks\cauldron_water.png,0,0,255,255
textures\blocks\cauldron_water_placeholder.png,0,0,255,255
textures\blocks\cave_vines_body.png,0,0,255,255
textures\blocks\cave_vines_body_berries.png,0,0,255,255
textures\blocks\cave_vines_head.png,0,0,255,255
textures\blocks\cave_vines_head_berries.png,0,0,255,255
textures\blocks\chain1.png,0,0,255,255
textures\blocks\chain2.png,0,0,255,255
textures\blocks\chain_command_block_back.png,0,0,255,255
textures\blocks\chain_command_block_back_mipmap.png,0,0,255,255
textures\blocks\chain_command_block_conditional.png,0,0,255,255
textures\blocks\chain_command_block_conditional_mipmap.png,0,0,255,255
textures\blocks\chain_command_block_front.png,0,0,255,255
textures\blocks\chain_command_block_front_mipmap.png,0,0,255,255
textures\blocks\chain_command_block_side.png,0,0,255,255
textures\blocks\chain_command_block_side_mipmap.png,0,0,255,255
textures\blocks\cherry_door_bottom.png,0,0,255,255
textures\blocks\cherry_door_top.png,0,0,255,255
textures\blocks\cherry_leaves.png,0,0,255,255
textures\blocks\cherry_leaves_opaque.png,0,0,255,255
textures\blocks\cherry_log_side.png,0,0,255,255
textures\blocks\cherry_log_top.png,0,0,255,255
textures\blocks\cherry_planks.png,0,0,255,255
textures\blocks\cherry_sapling.png,0,0,255,255
textures\blocks\cherry_trapdoor.png,0,0,255,255
textures\blocks\chest_front.png,0,0,255,255
textures\blocks\chest_side.png,0,0,255,255
textures\blocks\chest_top.png,0,0,255,255
textures\blocks\chiseled_bookshelf_empty.png,0,0,255,255
textures\blocks\chiseled_bookshelf_occupied.png,0,0,255,255
textures\blocks\chiseled_bookshelf_side.png,0,0,255,255
textures\blocks\chiseled_bookshelf_top.png,0,0,255,255
textures\blocks\chiseled_copper.png,0,0,255,255
textures\blocks\chiseled_nether_bricks.png,0,0,255,255
textures\blocks\chiseled_polished_blackstone.png,0,0,255,255
textures\blocks\chiseled_tuff.png,0,0,255,255
textures\blocks\chiseled_tuff_bricks.png,0,0,255,255
textures\blocks\chiseled_tuff_bricks_top.png,0,0,255,255
textures\blocks\chiseled_tuff_top.png,0,0,255,255
textures\blocks\chorus_flower.png,0,0,255,255
textures\blocks\chorus_flower_dead.png,0,0,255,255
textures\blocks\chorus_plant.png,0,0,255,255
textures\blocks\clay.png,0,0,255,255
textures\blocks\coal_block.png,0,0,255,255
textures\blocks\coal_ore.png,0,0,255,255
textures\blocks\coarse_dirt.png,0,0,255,255
textures\blocks\cobblestone.png,0,0,255,255
textures\blocks\cobblestone_mossy.png,0,0,255,255
textures\blocks\cocoa_stage_0.png,0,0,255,255
textures\blocks\cocoa_stage_1.png,0,0,255,255
textures\blocks\cocoa_stage_2.png,0,0,255,255
textures\blocks\command_block.png,0,0,255,255
textures\blocks\command_block_back.png,0,0,255,255
textures\blocks\command_block_back_mipmap.png,0,0,255,255
textures\blocks\command_block_conditional.png,0,0,255,255
textures\blocks\command_block_conditional_mipmap.png,0,0,255,255
textures\blocks\command_block_front.png,0,0,255,255
textures\blocks\command_block_front_mipmap.png,0,0,255,255
textures\blocks\command_block_side.png,0,0,255,255
textures\blocks\command_block_side_mipmap.png,0,0,255,255
textures\blocks\comparator_off.png,0,0,255,255
textures\blocks\comparator_on.png,0,0,255,255
textures\blocks\compost.png,0,0,255,255
textures\blocks\compost_ready.png,0,0,255,255
textures\blocks\composter_bottom.png,0,0,255,255
textures\blocks\composter_side.png,0,0,255,255
textures\blocks\composter_top.png,0,0,255,255
textures\blocks\concrete_black.png,0,0,255,255
textures\blocks\concrete_blue.png,0,0,255,255
textures\blocks\concrete_brown.png,0,0,255,255
textures\blocks\concrete_cyan.png,0,0,255,255
textures\blocks\concrete_gray.png,0,0,255,255
textures\blocks\concrete_green.png,0,0,255,255
textures\blocks\concrete_light_blue.png,0,0,255,255
textures\blocks\concrete_lime.png,0,0,255,255
textures\blocks\concrete_magenta.png,0,0,255,255
textures\blocks\concrete_orange.png,0,0,255,255
textures\blocks\concrete_pink.png,0,0,255,255
textures\blocks\concrete_powder_black.png,0,0,255,255
textures\blocks\concrete_powder_blue.png,0,0,255,255
textures\blocks\concrete_powder_brown.png,0,0,255,255
textures\blocks\concrete_powder_cyan.png,0,0,255,255
textures\blocks\concrete_powder_gray.png,0,0,255,255
textures\blocks\concrete_powder_green.png,0,0,255,255
textures\blocks\concrete_powder_light_blue.png,0,0,255,255
textures\blocks\concrete_powder_lime.png,0,0,255,255
textures\blocks\concrete_powder_magenta.png,0,0,255,255
textures\blocks\concrete_powder_orange.png,0,0,255,255
textures\blocks\concrete_powder_pink.png,0,0,255,255
textures\blocks\concrete_powder_purple.png,0,0,255,255
textures\blocks\concrete_powder_red.png,0,0,255,255
textures\blocks\concrete_powder_silver.png,0,0,255,255
textures\blocks\concrete_powder_white.png,0,0,255,255
textures\blocks\concrete_powder_yellow.png,0,0,255,255
textures\blocks\concrete_purple.png,0,0,255,255
textures\blocks\concrete_red.png,0,0,255,255
textures\blocks\concrete_silver.png,0,0,255,255
textures\blocks\concrete_white.png,0,0,255,255
textures\blocks\concrete_yellow.png,0,0,255,255
textures\blocks\conduit_base.png,0,0,255,255
textures\blocks\conduit_cage.png,0,0,255,255
textures\blocks\conduit_closed.png,0,0,255,255
textures\blocks\conduit_open.png,0,0,255,255
textures\blocks\conduit_wind_horizontal.png,0,0,255,255
textures\blocks\conduit_wind_vertical.png,0,0,255,255
textures\blocks\copper_block.png,0,0,255,255
textures\blocks\copper_bulb.png,0,0,255,255
textures\blocks\copper_bulb_lit.png,0,0,255,255
textures\blocks\copper_bulb_lit_powered.png,0,0,255,255
textures\blocks\copper_bulb_powered.png,0,0,255,255
textures\blocks\copper_door_bottom.png,0,0,255,255
textures\blocks\copper_door_top.png,0,0,255,255
textures\blocks\copper_grate.png,0,0,255,255
textures\blocks\copper_ore.png,0,0,255,255
textures\blocks\copper_trapdoor.png,0,0,255,255
textures\blocks\coral_blue.png,0,0,255,255
textures\blocks\coral_blue_dead.png,0,0,255,255
textures\blocks\coral_fan_blue.png,0,0,255,255
textures\blocks\coral_fan_blue_dead.png,0,0,255,255
textures\blocks\coral_fan_pink.png,0,0,255,255
textures\blocks\coral_fan_pink_dead.png,0,0,255,255
textures\blocks\coral_fan_purple.png,0,0,255,255
textures\blocks\coral_fan_purple_dead.png,0,0,255,255
textures\blocks\coral_fan_red.png,0,0,255,255
textures\blocks\coral_fan_red_dead.png,0,0,255,255
textures\blocks\coral_fan_yellow.png,0,0,255,255
textures\blocks\coral_fan_yellow_dead.png,0,0,255,255
textures\blocks\coral_pink.png,0,0,255,255
textures\blocks\coral_pink_dead.png,0,0,255,255
textures\blocks\coral_plant_blue.png,0,0,255,255
textures\blocks\coral_plant_blue_dead.png,0,0,255,255
textures\blocks\coral_plant_pink.png,0,0,255,255
textures\blocks\coral_plant_pink_dead.png,0,0,255,255
textures\blocks\coral_plant_purple.png,0,0,255,255
textures\blocks\coral_plant_purple_dead.png,0,0,255,255
textures\blocks\coral_plant_red.png,0,0,255,255
textures\blocks\coral_plant_red_dead.png,0,0,255,255
textures\blocks\coral_plant_yellow.png,0,0,255,255
textures\blocks\coral_plant_yellow_dead.png,0,0,255,255
textures\blocks\coral_purple.png,0,0,255,255
textures\blocks\coral_purple_dead.png,0,0,255,255
textures\blocks\coral_red.png,0,0,255,255
textures\blocks\coral_red_dead.png,0,0,255,255
textures\blocks\coral_yellow.png,0,0,255,255
textures\blocks\coral_yellow_dead.png,0,0,255,255
textures\blocks\cracked_nether_bricks.png,0,0,255,255
textures\blocks\cracked_polished_blackstone_bricks.png,0,0,255,255
textures\blocks\crafter_bottom.png,0,0,255,255
textures\blocks\crafter_east.png,0,0,255,255
textures\blocks\crafter_east_crafting.png,0,0,255,255
textures\blocks\crafter_east_triggered.png,0,0,255,255
textures\blocks\crafter_north.png,0,0,255,255
textures\blocks\crafter_north_crafting.png,0,0,255,255
textures\blocks\crafter_south.png,0,0,255,255
textures\blocks\crafter_south_triggered.png,0,0,255,255
textures\blocks\crafter_top.png,0,0,255,255
textures\blocks\crafter_top_crafting.png,0,0,255,255
textures\blocks\crafter_top_triggered.png,0,0,255,255
textures\blocks\crafter_west.png,0,0,255,255
textures\blocks\crafter_west_crafting.png,0,0,255,255
textures\blocks\crafter_west_triggered.png,0,0,255,255
textures\blocks\crafting_table_front.png,0,0,255,255
textures\blocks\crafting_table_side.png,0,0,255,255
textures\blocks\crafting_table_top.png,0,0,255,255
textures\blocks\crimson_fungus.png,0,0,255,255
textures\blocks\crimson_nylium_side.png,0,0,255,255
textures\blocks\crimson_nylium_top.png,0,0,255,255
